Paises,Continentes,Tasa_no_escolaridad_Preescolar_Hombres,Tasa_no_escolaridad_Preescolar_Mujeres,Tasa_no_escolaridad_Primaria_Hombres,Tasa_no_escolaridad_Primaria_Mujeres,Tasa_no_escolaridad_SecundariaInferior_Hombres,Tasa_no_escolaridad_SecundariaInferior_Mujeres,Tasa_no_escolaridad_SecundariaSuperior_Hombres,Tasa_no_escolaridad_SecundariaSuperior_Mujeres,Tasa_Finalización_Primaria_Hombres,Tasa_Finalización_Primaria_Mujeres,Tasa_Finalización_SecundariaInferior_Hombres,Tasa_Finalización_SecundariaInferior_Mujeres,Tasa_Finalización_SecundariaSuperior_Hombres,Tasa_Finalización_SecundariaSuperior_Mujeres,Competencia_Lectora_Primaria,Competencia_Matemática_Primaria,Competencia_Lectora_SecundariaInferior,Competencia_Matemática_SecundariaInferior,Tasa_Alfabetización_Hombres_15-24_años,Tasa_Alfabetización_Mujeres_15-24_años,Tasa_Natalidad,Matrícula_Bruta_Primaria,Matrícula_Bruta_Terciaria,Tasa_Desempleo
Liberia,Africa,21,21,22,21,17,26,20,31,36,33,29,23,18,9,0,0,0,0,0,0,33.04,85.1,11.9,2.81
Libya,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83,109.0,60.5,18.56
Liechtenstein,Europe,1,2,3,2,1,7,10,22,0,0,0,0,0,0,0,0,0,0,0,0,9.9,104.7,35.6,0.0
Lithuania,Europe,3,3,0,0,0,0,4,2,0,0,0,0,0,0,97,81,76,74,0,0,10.0,103.9,72.4,6.35
Luxembourg,Europe,1,1,1,1,4,5,22,17,0,0,0,0,0,0,0,0,71,73,0,0,10.3,102.3,19.2,5.36
Madagascar,Africa,43,38,0,0,31,29,63,64,52,60,26,27,16,15,4,5,0,0,82,81,32.66,142.5,5.4,1.76
Malawi,Africa,0,0,0,0,19,18,62,76,43,52,23,21,15,13,0,0,0,0,0,0,34.12,142.5,0.8,5.65
Malaysia,Asia,1,1,0,0,15,12,41,32,0,0,0,0,0,0,0,0,54,59,97,97,16.75,105.3,45.1,3.32
Maldives,Asia,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,97.1,31.2,6.14
Mali,Africa,53,57,38,44,49,56,71,79,50,41,36,25,23,12,0,0,0,0,58,43,41.54,75.6,4.5,7.22
Malta,Europe,0,5,0,0,2,1,10,7,0,0,0,0,0,0,0,0,64,62,99,100,9.2,105.0,54.3,3.47
Marshall Islands,Oceania,32,31,25,27,33,29,45,41,0,0,0,0,0,0,0,0,0,0,0,0,29.03,84.7,23.7,0.0
Mauritania,Africa,0,0,25,21,31,25,63,59,68,58,53,40,31,23,0,0,0,0,0,0,33.69,99.9,5.0,9.55
Mauritius,Africa,9,8,3,1,6,4,25,17,0,0,0,0,0,0,88,78,0,0,99,99,10.2,101.1,40.6,6.67
Mexico,America,2,0,0,0,9,7,28,24,98,98,87,90,56,60,58,69,55,44,99,99,17.6,105.8,40.2,3.42
Federated States of Micronesia,Oceania,30,34,9,11,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.82,97.2,14.1,0.0
Monaco,Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0.0,0.0,0.0
Mongolia,Asia,3,5,2,3,8,7,22,20,96,98,87,93,60,73,0,0,0,0,98,99,24.13,104.0,65.6,6.01
Montenegro,Europe,23,24,3,3,8,7,12,10,95,98,93,97,83,90,0,0,56,54,99,99,11.73,100.0,56.1,14.88
Montserrat,America,19,14,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Morocco,Africa,31,39,2,3,8,11,26,30,0,0,0,0,0,0,0,0,27,14,98,97,18.94,113.9,35.9,9.02
Mozambique,Africa,0,0,1,4,39,47,65,73,44,39,15,11,8,5,0,0,0,0,0,0,37.52,112.6,7.3,3.24
Myanmar,Asia,88,88,0,0,22,20,47,38,82,84,45,45,14,19,0,0,0,0,0,0,17.55,112.3,18.8,1.58
Namibia,Africa,33,30,0,0,0,0,0,0,75,86,48,62,33,39,35,6,0,0,94,96,28.64,124.2,22.9,20.27
Nauru,Oceania,11,3,0,0,13,4,52,60,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Nepal,Africa,9,17,0,0,4,1,26,13,81,83,71,75,27,28,0,0,0,0,94,91,19.89,142.1,12.4,1.41
Netherlands,Europe,1,0,1,1,3,2,1,1,0,0,0,0,0,0,0,0,76,84,0,0,9.7,104.2,85.0,3.2
New Zealand,Oceania,6,7,1,1,1,1,4,1,0,0,0,0,0,0,0,0,81,78,0,0,11.98,100.0,82.0,4.07
Nicaragua,America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,20,0,0,0,0,20.64,120.6,17.4,6.84
Niger,Africa,76,76,37,45,61,69,84,89,35,24,10,4,4,1,2,1,0,0,51,36,46.08,74.7,4.4,0.47
Nigeria,Africa,0,0,0,0,0,0,0,0,71,71,66,59,57,44,0,0,0,0,82,68,37.91,84.7,10.2,8.1
Niue,Oceania,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
North Macedonia,Europe,51,51,1,1,0,0,0,0,97,100,93,95,86,79,0,0,45,39,0,0,0.0,0.0,0.0,0.0
Norway,Europe,3,3,0,0,0,1,8,7,0,0,0,0,0,0,0,70,81,81,0,0,10.4,100.3,82.0,3.35
Oman,Asia,16,13,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,23,98,99,19.19,103.4,38.0,2.67
Pakistan,Asia,0,14,0,0,0,0,0,0,64,55,55,45,24,23,0,0,0,0,0,0,28.25,94.3,9.0,4.45
Palau,Oceania,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,112.6,54.7,0.0
Panama,America,25,23,13,14,13,12,35,31,95,96,75,81,57,68,36,23,36,19,99,99,18.98,94.4,47.8,3.9
Papua New Guinea,Oceania,28,29,4,10,10,19,40,51,0,0,0,0,0,0,0,0,0,0,0,0,27.07,108.5,1.8,2.46
Paraguay,America,31,30,0,0,0,0,33,30,93,96,81,79,60,67,29,23,32,8,98,99,20.57,104.4,34.6,4.81
Peru,America,1,1,0,0,3,3,15,21,95,95,83,83,78,72,46,53,46,40,99,99,17.95,106.9,70.7,3.31
Philippines,Asia,14,13,3,3,14,7,24,17,89,95,75,88,74,83,0,0,19,19,0,0,20.55,107.5,35.5,2.15
Poland,Europe,4,5,2,2,1,3,4,4,0,0,0,0,0,0,0,0,85,85,0,0,10.2,100.0,67.8,3.47
Portugal,Europe,5,6,0,1,0,0,2,4,0,0,0,0,0,0,0,0,80,77,100,100,8.5,106.2,63.9,6.33
Qatar,Asia,10,7,3,0,1,9,0,0,0,0,0,0,0,0,0,0,49,36,0,0,9.54,103.8,17.9,0.09
South Korea,Asia,1,1,1,1,3,3,4,4,0,0,0,0,0,0,0,0,85,85,0,0,6.4,98.1,94.3,4.15
Moldova,Europe,5,5,9,11,15,16,36,35,99,99,95,98,63,71,0,0,57,50,0,0,10.1,90.6,39.8,5.47
Romania,Europe,18,18,12,13,9,9,21,19,0,0,0,0,0,0,0,0,59,53,99,99,9.6,85.2,49.4,3.98
Russia,Asia,9,10,1,0,2,1,3,3,0,0,0,0,0,0,99,89,78,78,100,100,11.5,102.6,81.9,4.59
Rwanda,Africa,48,47,6,6,6,2,50,49,48,61,25,30,19,16,0,0,0,0,84,89,31.7,133.0,6.7,1.03
Saint Kitts and Nevis,America,0,21,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,12.6,108.7,86.7,0.0
Saint Lucia,America,5,0,3,0,9,10,20,21,99,99,85,98,70,90,0,0,0,0,0,0,12.0,102.6,14.1,20.71
Saint Vincent and the Grenadines,America,9,3,0,0,1,2,16,14,0,0,0,0,0,0,0,0,0,0,0,0,14.24,113.4,23.7,18.88
Samoa,Oceania,65,65,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,99,99,24.38,110.5,7.6,8.36
San Marino,Europe,12,14,0,0,0,0,51,57,0,0,0,0,0,0,0,0,0,0,100,100,6.8,108.1,42.5,0.0
Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,Asia,49,46,6,6,12,7,19,16,79,86,32,36,4,8,0,0,0,0,98,98,31.54,106.8,13.4,13.37
Saudi Arabia,Asia,51,48,1,3,0,3,3,9,0,0,0,0,0,0,0,0,48,11,0,0,17.8,99.8,68.0,5.93
Senegal,Africa,85,83,30,21,0,0,0,0,44,50,27,30,11,10,35,29,9,8,0,0,34.52,81.0,12.8,6.6
Serbia,Europe,9,10,2,2,2,2,14,11,99,100,99,99,71,81,0,72,62,60,0,0,9.2,100.3,67.2,12.69
Seychelles,Africa,9,6,0,0,0,0,24,12,0,0,0,0,0,0,0,0,0,0,99,100,17.1,100.4,17.1,0.0
Sierra Leone,Africa,58,57,2,2,49,49,64,67,63,65,47,42,27,18,0,0,0,0,71,63,33.41,112.8,2.0,4.43
Singapore,Asia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,94,100,100,8.8,100.6,84.8,4.11
Slovakia,Europe,15,17,5,4,5,5,11,11,0,0,0,0,0,0,93,65,69,75,0,0,10.6,98.7,46.6,5.56
Slovenia,Europe,5,6,1,0,2,1,2,1,0,0,0,0,0,0,0,0,82,84,0,0,9.4,100.4,78.6,4.2
Solomon Islands,Oceania,36,33,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.44,106.2,0.0,0.58
